Approved Symbol,HGNC symbol,Approved Name,Actually approved name,Num Distinct Exons,In breast panel v2,Add to breast panel v3
SMARCA4,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",,35,FALSE,
SMARCB1,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",,10,FALSE,
SMARCD1,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",,13,FALSE,
SMO,SMO,smoothened homolog (Drosophila),,12,TRUE,
SOCS1,SOCS1,suppressor of cytokine signaling 1,,1,FALSE,
SOX17,SOX17,SRY (sex determining region Y)-box 17,,2,FALSE,
SOX2,SOX2,SRY (sex determining region Y)-box 2,,1,FALSE,
SOX9,SOX9,SRY (sex determining region Y)-box 9,,3,FALSE,
SPEN,SPEN,"spen homolog, transcriptional regulator (Drosophila)",,16,TRUE,
SPOP,SPOP,speckle-type POZ protein,,9,FALSE,
SRC,SRC,v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian),,11,FALSE,
SRSF2,SRSF2,serine/arginine-rich splicing factor 2,,2,FALSE,
STAG2,STAG2,stromal antigen 2,,33,FALSE,
STAT3,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),,23,TRUE,
STAT5A,STAT5A,signal transducer and activator of transcription 5A,,18,FALSE,
STAT5B,STAT5B,signal transducer and activator of transcription 5B,,18,FALSE,
STK11,STK11,serine/threonine kinase 11,,9,FALSE,
STK40,STK40,serine/threonine kinase 40,,10,FALSE,
SUFU,SUFU,suppressor of fused homolog (Drosophila),,13,FALSE,
SUZ12,SUZ12,suppressor of zeste 12 homolog (Drosophila),,16,FALSE,
SYK,SYK,spleen tyrosine kinase,,13,FALSE,
TBX3,TBX3,T-box 3,,8,TRUE,
TCEB1,TCEB1,"transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)",,3,FALSE,
TCF3,TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),,19,FALSE,
TCF7L2,TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box)",,20,FALSE,
TERT,TERT,telomerase reverse transcriptase,,16,FALSE,YES
TET1,TET1,tet oncogene 1,,11,FALSE,
TET2,TET2,tet oncogene family member 2,,10,FALSE,
TGFBR1,TGFBR1,"transforming growth factor, beta receptor 1",,9,TRUE,
TGFBR2,TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",,8,TRUE,
TMEM127,TMEM127,transmembrane protein 127,,3,FALSE,
TMPRSS2,TMPRSS2,"transmembrane protease, serine 2",,14,FALSE,
TNFAIP3,TNFAIP3,"tumor necrosis factor, alpha-induced protein 3",,8,FALSE,
TNFRSF14,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",,9,FALSE,
TOP1,TOP1,topoisomerase (DNA) I,,21,FALSE,
TP53,TP53,tumor protein p53,,16,TRUE,
TP63,TP63,tumor protein p63,,16,FALSE,
TRAF2,TRAF2,TNF receptor-associated factor 2,,10,FALSE,
TRAF7,TRAF7,TNF receptor-associated factor 7,,20,FALSE,
TSC1,TSC1,tuberous sclerosis 1,,21,TRUE,
TSC2,TSC2,tuberous sclerosis 2,,41,TRUE,
TSHR,TSHR,thyroid stimulating hormone receptor,,11,FALSE,
U2AF1,U2AF1,U2 small nuclear RNA auxiliary factor 1,,9,FALSE,
VEGFA,VEGFA,vascular endothelial growth factor A,,9,FALSE,
VHL,VHL,von Hippel-Lindau tumor suppressor,,3,FALSE,
VTCN1,VTCN1,V-set domain containing T cell activation inhibitor 1,,5,FALSE,
WT1,WT1,Wilms tumor 1,,11,FALSE,
XIAP,XIAP,X-linked inhibitor of apoptosis,,6,FALSE,
XPO1,XPO1,"exportin 1 (CRM1 homolog, yeast)",,24,FALSE,
XRCC2,XRCC2,X-ray repair complementing defective repair in Chinese hamster cells 2,,3,TRUE,
YAP1,YAP1,Yes-associated protein 1,,9,FALSE,
YES1,YES1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1,,11,FALSE,
ZFHX3,ZFHX3,zinc finger homeobox 3,,9,TRUE,
ZRSR2,ZRSR2,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2",,11,FALSE,
